State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,10.48387097,3.091397849,10.48387097,11.42473118,19.89247312,34.67741935,9.946236559
Feb,1.041666667,7.738095238,8.035714286,16.07142857,19.79166667,47.32142857,0
Mar,4.301075269,9.408602151,10.75268817,16.53225806,20.56451613,37.09677419,1.344086022
Apr,0.2777777778,5.972222222,13.19444444,13.47222222,23.61111111,43.33333333,0.1388888889
May,0.2688172043,3.897849462,10.48387097,24.8655914,28.62903226,24.7311828,7.123655914
Jun,0.4166666667,8.055555556,13.19444444,19.86111111,28.19444444,28.61111111,1.666666667
Jul,0.1344086022,3.091397849,8.064516129,16.93548387,33.60215054,30.77956989,7.392473118
Aug,0.2688172043,2.956989247,5.376344086,12.3655914,29.97311828,32.66129032,16.39784946
Sep,0,2.5,6.944444444,15.41666667,23.19444444,51.11111111,0.8333333333
Oct,3.76344086,12.09677419,7.52688172,12.3655914,18.27956989,45.43010753,0.5376344086
Nov,2.916666667,7.222222222,10.27777778,14.44444444,14.86111111,47.22222222,3.055555556
Dec,3.091397849,15.59139785,7.392473118,9.005376344,10.08064516,37.3655914,17.47311828
