State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,11.82795699,12.6344086,5.913978495,10.88709677,14.65053763,42.74193548,1.344086022
Feb,2.678571429,9.375,6.398809524,10.41666667,16.36904762,54.46428571,0.2976190476
Mar,0,2.153432032,7.537012113,16.55450875,24.89905787,48.58681023,0.269179004
Apr,0,0.5555555556,3.055555556,9.861111111,31.25,54.02777778,1.25
May,3.897849462,0.2688172043,0.2688172043,2.956989247,28.49462366,63.70967742,0.4032258065
Jun,0,0,0,0.9722222222,24.86111111,72.91666667,1.25
Jul,0.4032258065,0.5376344086,1.075268817,3.629032258,36.42473118,57.12365591,0.8064516129
Aug,0,0,0,1.075268817,21.63978495,75.53763441,1.747311828
Sep,0,0,1.944444444,11.80555556,21.94444444,42.63888889,21.66666667
Oct,0,0.5376344086,3.629032258,12.2311828,25.40322581,56.58602151,1.612903226
Nov,0,0,4.305555556,9.027777778,24.44444444,57.36111111,4.861111111
Dec,0,3.76344086,3.76344086,6.182795699,14.65053763,71.37096774,0.2688172043
