State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,0,0,1.754385965,3.778677463,18.35357625,76.11336032,0
Feb,0,0.2949852507,2.507374631,11.35693215,24.48377581,61.35693215,0
Mar,0,0.1652892562,8.760330579,17.52066116,32.39669421,41.15702479,0
Apr,0,2.098950525,2.098950525,10.19490255,25.63718141,59.97001499,0
May,0,0,0.2670226969,4.672897196,32.04272363,63.01735648,0
Jun,0,0,0,0.8670520231,29.9132948,69.21965318,0
Jul,0,0,0,0,28.64938608,71.35061392,0
Aug,0,0,0,0,13.38688086,86.61311914,0
Sep,0,0,0,0,12.96829971,87.03170029,0
Oct,0,0,0.1349527665,8.771929825,21.72739541,69.365722,0
Nov,0,2.008608321,5.738880918,14.63414634,27.54662841,50.07173601,0
Dec,0,0,5.342237062,3.338898164,37.22871452,54.09015025,0
