date,year,month,day,hour,value
1/1/2010,2010,1,1,0,-999
1/1/2010,2010,1,1,1,-999
1/1/2010,2010,1,1,2,-999
1/1/2010,2010,1,1,3,-999
1/1/2010,2010,1,1,4,-999
1/1/2010,2010,1,1,5,-999
1/1/2010,2010,1,1,6,-999
1/1/2010,2010,1,1,7,-999
1/1/2010,2010,1,1,8,-999
1/1/2010,2010,1,1,9,-999
1/1/2010,2010,1,1,10,-999
1/1/2010,2010,1,1,11,-999
1/1/2010,2010,1,1,12,-999
1/1/2010,2010,1,1,13,-999
1/1/2010,2010,1,1,14,-999
1/1/2010,2010,1,1,15,-999
1/1/2010,2010,1,1,16,-999
1/1/2010,2010,1,1,17,-999
1/1/2010,2010,1,1,18,-999
1/1/2010,2010,1,1,19,-999
1/1/2010,2010,1,1,20,-999
1/1/2010,2010,1,1,21,-999
1/1/2010,2010,1,1,22,-999
1/1/2010,2010,1,1,23,129
1/2/2010,2010,1,2,0,148
1/2/2010,2010,1,2,1,159
1/2/2010,2010,1,2,2,181
1/2/2010,2010,1,2,3,138
1/2/2010,2010,1,2,4,109
1/2/2010,2010,1,2,5,105
1/2/2010,2010,1,2,6,124
1/2/2010,2010,1,2,7,120
1/2/2010,2010,1,2,8,132
1/2/2010,2010,1,2,9,140
1/2/2010,2010,1,2,10,152
1/2/2010,2010,1,2,11,148
1/2/2010,2010,1,2,12,164
1/2/2010,2010,1,2,13,158
1/2/2010,2010,1,2,14,154
1/2/2010,2010,1,2,15,159
1/2/2010,2010,1,2,16,164
1/2/2010,2010,1,2,17,170
1/2/2010,2010,1,2,18,149
1/2/2010,2010,1,2,19,154
1/2/2010,2010,1,2,20,164
1/2/2010,2010,1,2,21,156
1/2/2010,2010,1,2,22,126
1/2/2010,2010,1,2,23,90
1/3/2010,2010,1,3,0,63
1/3/2010,2010,1,3,1,65
1/3/2010,2010,1,3,2,55
1/3/2010,2010,1,3,3,65
1/3/2010,2010,1,3,4,83
1/3/2010,2010,1,3,5,91
1/3/2010,2010,1,3,6,86
1/3/2010,2010,1,3,7,82
1/3/2010,2010,1,3,8,86
1/3/2010,2010,1,3,9,78
1/3/2010,2010,1,3,10,98
1/3/2010,2010,1,3,11,107
1/3/2010,2010,1,3,12,90
1/3/2010,2010,1,3,13,96
1/3/2010,2010,1,3,14,95
1/3/2010,2010,1,3,15,86
1/3/2010,2010,1,3,16,70
1/3/2010,2010,1,3,17,61
1/3/2010,2010,1,3,18,53
1/3/2010,2010,1,3,19,71
1/3/2010,2010,1,3,20,72
1/3/2010,2010,1,3,21,76
1/3/2010,2010,1,3,22,73
1/3/2010,2010,1,3,23,79
1/4/2010,2010,1,4,0,58
1/4/2010,2010,1,4,1,25
