date,year,month,day,hour,value
1/1/2016,2016,1,1,0,66.37
1/1/2016,2016,1,1,1,87.99
1/1/2016,2016,1,1,2,108.84
1/1/2016,2016,1,1,3,128.43
1/1/2016,2016,1,1,4,133.50
1/1/2016,2016,1,1,5,139.21
1/1/2016,2016,1,1,6,152.68
1/1/2016,2016,1,1,7,149.01
1/1/2016,2016,1,1,8,144.61
1/1/2016,2016,1,1,9,127.95
1/1/2016,2016,1,1,10,119.77
1/1/2016,2016,1,1,11,118.80
1/1/2016,2016,1,1,12,112.40
1/1/2016,2016,1,1,13,108.47
1/1/2016,2016,1,1,14,103.69
1/1/2016,2016,1,1,15,102.22
1/1/2016,2016,1,1,16,109.34
1/1/2016,2016,1,1,17,123.25
1/1/2016,2016,1,1,18,135.56
1/1/2016,2016,1,1,19,123.19
1/1/2016,2016,1,1,20,127.53
1/1/2016,2016,1,1,21,139.76
1/1/2016,2016,1,1,22,145.65
1/1/2016,2016,1,1,23,152.12
1/2/2016,2016,1,2,0,167.02
1/2/2016,2016,1,2,1,185.36
1/2/2016,2016,1,2,2,206.94
1/2/2016,2016,1,2,3,229.23
1/2/2016,2016,1,2,4,237.88
1/2/2016,2016,1,2,5,253.55
1/2/2016,2016,1,2,6,235.88
1/2/2016,2016,1,2,7,232.99
1/2/2016,2016,1,2,8,231.15
1/2/2016,2016,1,2,9,225.75
1/2/2016,2016,1,2,10,221.86
1/2/2016,2016,1,2,11,228.04
1/2/2016,2016,1,2,12,213.74
1/2/2016,2016,1,2,13,199.87
1/2/2016,2016,1,2,14,193.80
1/2/2016,2016,1,2,15,187.70
1/2/2016,2016,1,2,16,180.68
1/2/2016,2016,1,2,17,185.16
1/2/2016,2016,1,2,18,207.53
1/2/2016,2016,1,2,19,201.51
1/2/2016,2016,1,2,20,200.42
1/2/2016,2016,1,2,21,188.79
1/2/2016,2016,1,2,22,199.43
1/2/2016,2016,1,2,23,202.24
1/3/2016,2016,1,3,0,202.70
1/3/2016,2016,1,3,1,204.98
1/3/2016,2016,1,3,2,219.38
1/3/2016,2016,1,3,3,231.08
1/3/2016,2016,1,3,4,243.48
1/3/2016,2016,1,3,5,263.20
1/3/2016,2016,1,3,6,249.12
1/3/2016,2016,1,3,7,240.82
1/3/2016,2016,1,3,8,248.20
1/3/2016,2016,1,3,9,254.95
1/3/2016,2016,1,3,10,255.81
1/3/2016,2016,1,3,11,265.28
1/3/2016,2016,1,3,12,204.59
1/3/2016,2016,1,3,13,194.01
1/3/2016,2016,1,3,14,206.25
1/3/2016,2016,1,3,15,184.80
1/3/2016,2016,1,3,16,186.99
1/3/2016,2016,1,3,17,196.94
1/3/2016,2016,1,3,18,177.88
1/3/2016,2016,1,3,19,160.62
1/3/2016,2016,1,3,20,139.41
1/3/2016,2016,1,3,21,127.79
1/3/2016,2016,1,3,22,130.47
1/3/2016,2016,1,3,23,143.08
1/4/2016,2016,1,4,0,152.30
1/4/2016,2016,1,4,1,161.05
1/4/2016,2016,1,4,2,171.69
1/4/2016,2016,1,4,3,183.94
1/4/2016,2016,1,4,4,192.61
1/4/2016,2016,1,4,5,196.46
1/4/2016,2016,1,4,6,193.72
1/4/2016,2016,1,4,7,180.82
1/4/2016,2016,1,4,8,183.69
1/4/2016,2016,1,4,9,162.42
1/4/2016,2016,1,4,10,152.13
1/4/2016,2016,1,4,11,109.32
1/4/2016,2016,1,4,12,61.75
1/4/2016,2016,1,4,13,53.36
1/4/2016,2016,1,4,14,45.92
1/4/2016,2016,1,4,15,39.79
1/4/2016,2016,1,4,16,42.29
1/4/2016,2016,1,4,17,37.56
1/4/2016,2016,1,4,18,36.47
1/4/2016,2016,1,4,19,30.32
1/4/2016,2016,1,4,20,21.73
1/4/2016,2016,1,4,21,15.82
1/4/2016,2016,1,4,22,13.58
1/4/2016,2016,1,4,23,15.28
1/5/2016,2016,1,5,0,14.66
1/5/2016,2016,1,5,1,14.95
1/5/2016,2016,1,5,2,17.40
1/5/2016,2016,1,5,3,31.24
1/5/2016,2016,1,5,4,31.56
1/5/2016,2016,1,5,5,26.00
1/5/2016,2016,1,5,6,22.32
1/5/2016,2016,1,5,7,22.66
1/5/2016,2016,1,5,8,26.11
1/5/2016,2016,1,5,9,26.14
1/5/2016,2016,1,5,10,26.96
1/5/2016,2016,1,5,11,27.12
1/5/2016,2016,1,5,12,23.51
1/5/2016,2016,1,5,13,15.37
1/5/2016,2016,1,5,14,16.44
1/5/2016,2016,1,5,15,17.12
1/5/2016,2016,1,5,16,22.31
1/5/2016,2016,1,5,17,21.20
1/5/2016,2016,1,5,18,27.21
1/5/2016,2016,1,5,19,24.55
1/5/2016,2016,1,5,20,22.38
1/5/2016,2016,1,5,21,19.42
1/5/2016,2016,1,5,22,19.73
1/5/2016,2016,1,5,23,20.12
1/6/2016,2016,1,6,0,24.11
1/6/2016,2016,1,6,1,29.59
1/6/2016,2016,1,6,2,38.16
1/6/2016,2016,1,6,3,50.89
1/6/2016,2016,1,6,4,59.70
1/6/2016,2016,1,6,5,65.35
1/6/2016,2016,1,6,6,69.37
1/6/2016,2016,1,6,7,68.63
1/6/2016,2016,1,6,8,68.06
1/6/2016,2016,1,6,9,59.43
1/6/2016,2016,1,6,10,56.46
1/6/2016,2016,1,6,11,51.99
1/6/2016,2016,1,6,12,45.33
1/6/2016,2016,1,6,13,41.23
1/6/2016,2016,1,6,14,37.11
1/6/2016,2016,1,6,15,37.91
1/6/2016,2016,1,6,16,41.77
1/6/2016,2016,1,6,17,51.21
1/6/2016,2016,1,6,18,50.84
1/6/2016,2016,1,6,19,41.58
1/6/2016,2016,1,6,20,30.50
1/6/2016,2016,1,6,21,20.84
1/6/2016,2016,1,6,22,18.60
1/6/2016,2016,1,6,23,18.70
1/7/2016,2016,1,7,0,18.14
1/7/2016,2016,1,7,1,17.76
1/7/2016,2016,1,7,2,23.77
1/7/2016,2016,1,7,3,26.29
1/7/2016,2016,1,7,4,28.66
1/7/2016,2016,1,7,5,25.50
1/7/2016,2016,1,7,6,27.94
1/7/2016,2016,1,7,7,31.77
1/7/2016,2016,1,7,8,33.81
1/7/2016,2016,1,7,9,28.63
1/7/2016,2016,1,7,10,22.97
1/7/2016,2016,1,7,11,19.70
1/7/2016,2016,1,7,12,16.50
1/7/2016,2016,1,7,13,15.66
1/7/2016,2016,1,7,14,14.95
1/7/2016,2016,1,7,15,18.55
1/7/2016,2016,1,7,16,19.74
1/7/2016,2016,1,7,17,22.24
1/7/2016,2016,1,7,18,22.03
1/7/2016,2016,1,7,19,20.12
1/7/2016,2016,1,7,20,17.28
1/7/2016,2016,1,7,21,13.69
1/7/2016,2016,1,7,22,13.11
1/7/2016,2016,1,7,23,13.01
1/8/2016,2016,1,8,0,15.80
1/8/2016,2016,1,8,1,17.87
1/8/2016,2016,1,8,2,23.74
1/8/2016,2016,1,8,3,31.27
1/8/2016,2016,1,8,4,29.46
1/8/2016,2016,1,8,5,31.50
1/8/2016,2016,1,8,6,31.26
1/8/2016,2016,1,8,7,30.27
1/8/2016,2016,1,8,8,35.63
1/8/2016,2016,1,8,9,35.03
1/8/2016,2016,1,8,10,32.17
1/8/2016,2016,1,8,11,28.41
1/8/2016,2016,1,8,12,25.35
1/8/2016,2016,1,8,13,27.55
1/8/2016,2016,1,8,14,25.45
1/8/2016,2016,1,8,15,28.31
1/8/2016,2016,1,8,16,32.91
1/8/2016,2016,1,8,17,37.43
1/8/2016,2016,1,8,18,35.91
1/8/2016,2016,1,8,19,29.08
1/8/2016,2016,1,8,20,18.41
1/8/2016,2016,1,8,21,19.92
1/8/2016,2016,1,8,22,15.81
1/8/2016,2016,1,8,23,13.74
1/9/2016,2016,1,9,0,14.72
1/9/2016,2016,1,9,1,17.81
1/9/2016,2016,1,9,2,30.19
1/9/2016,2016,1,9,3,52.39
1/9/2016,2016,1,9,4,62.32
1/9/2016,2016,1,9,5,69.66
1/9/2016,2016,1,9,6,71.57
1/9/2016,2016,1,9,7,72.49
1/9/2016,2016,1,9,8,71.92
1/9/2016,2016,1,9,9,66.66
1/9/2016,2016,1,9,10,59.39
1/9/2016,2016,1,9,11,55.69
1/9/2016,2016,1,9,12,57.46
1/9/2016,2016,1,9,13,54.45
1/9/2016,2016,1,9,14,50.90
1/9/2016,2016,1,9,15,54.83
