date,year,month,day,hour,value
1/1/2017,2017,1,1,0,236.75
1/1/2017,2017,1,1,0,224.46
1/1/2017,2017,1,1,1,223.34
1/1/2017,2017,1,1,2,239.49
1/1/2017,2017,1,1,3,251.77
1/1/2017,2017,1,1,4,263.96
1/1/2017,2017,1,1,5,264.87
1/1/2017,2017,1,1,6,248.55
1/1/2017,2017,1,1,7,247.42
1/1/2017,2017,1,1,8,255.86
1/1/2017,2017,1,1,9,226.16
1/1/2017,2017,1,1,10,215.47
1/1/2017,2017,1,1,11,215.87
1/1/2017,2017,1,1,12,214.72
1/1/2017,2017,1,1,13,225.83
1/1/2017,2017,1,1,14,219.53
1/1/2017,2017,1,1,15,229.79
1/1/2017,2017,1,1,16,260.86
1/1/2017,2017,1,1,17,262.40
1/1/2017,2017,1,1,18,277.10
1/1/2017,2017,1,1,19,289.26
1/1/2017,2017,1,1,20,316.22
1/1/2017,2017,1,1,21,340.54
1/1/2017,2017,1,1,22,323.60
1/1/2017,2017,1,1,23,250.78
1/2/2017,2017,1,2,0,260.62
1/2/2017,2017,1,2,1,272.23
1/2/2017,2017,1,2,2,281.19
1/2/2017,2017,1,2,3,291.81
1/2/2017,2017,1,2,4,290.04
1/2/2017,2017,1,2,5,277.45
1/2/2017,2017,1,2,6,276.37
1/2/2017,2017,1,2,11,209.72
1/2/2017,2017,1,2,12,210.42
1/2/2017,2017,1,2,13,148.31
1/2/2017,2017,1,2,14,105.43
1/2/2017,2017,1,2,15,96.98
1/2/2017,2017,1,2,16,91.52
1/2/2017,2017,1,2,17,85.86
1/2/2017,2017,1,2,18,75.76
1/2/2017,2017,1,2,19,82.19
1/2/2017,2017,1,2,20,85.49
1/2/2017,2017,1,2,21,96.67
1/2/2017,2017,1,2,22,86.90
1/2/2017,2017,1,2,23,103.66
1/3/2017,2017,1,3,0,116.45
1/3/2017,2017,1,3,1,148.64
1/3/2017,2017,1,3,2,168.63
1/3/2017,2017,1,3,3,187.69
1/3/2017,2017,1,3,4,189.12
1/3/2017,2017,1,3,5,192.72
1/3/2017,2017,1,3,6,193.51
1/3/2017,2017,1,3,7,184.92
1/3/2017,2017,1,3,8,178.70
1/3/2017,2017,1,3,9,186.85
1/3/2017,2017,1,3,10,192.77
1/3/2017,2017,1,3,11,181.74
1/3/2017,2017,1,3,12,171.99
1/3/2017,2017,1,3,13,162.93
1/3/2017,2017,1,3,14,158.46
1/3/2017,2017,1,3,15,159.22
1/3/2017,2017,1,3,16,156.07
1/3/2017,2017,1,3,17,157.41
1/3/2017,2017,1,3,18,152.39
1/3/2017,2017,1,3,19,146.13
1/3/2017,2017,1,3,20,166.66
1/3/2017,2017,1,3,21,169.00
1/3/2017,2017,1,3,22,169.41
1/3/2017,2017,1,3,23,187.72
1/4/2017,2017,1,4,0,206.06
1/4/2017,2017,1,4,1,214.39
1/4/2017,2017,1,4,2,204.07
1/4/2017,2017,1,4,3,214.33
1/4/2017,2017,1,4,4,205.91
1/4/2017,2017,1,4,5,205.32
1/4/2017,2017,1,4,6,241.27
1/4/2017,2017,1,4,7,206.81
1/4/2017,2017,1,4,8,242.61
1/4/2017,2017,1,4,9,182.79
1/4/2017,2017,1,4,10,170.02
1/4/2017,2017,1,4,11,141.91
1/4/2017,2017,1,4,12,112.41
1/4/2017,2017,1,4,13,117.56
1/4/2017,2017,1,4,14,133.63
1/4/2017,2017,1,4,15,136.26
1/4/2017,2017,1,4,16,129.33
1/4/2017,2017,1,4,17,136.69
1/4/2017,2017,1,4,18,156.05
1/4/2017,2017,1,4,19,155.57
1/4/2017,2017,1,4,20,138.78
1/4/2017,2017,1,4,21,125.85
1/4/2017,2017,1,4,22,133.70
1/4/2017,2017,1,4,23,199.03
1/5/2017,2017,1,5,0,196.98
1/5/2017,2017,1,5,1,232.51
1/5/2017,2017,1,5,2,232.03
1/5/2017,2017,1,5,3,254.39
1/5/2017,2017,1,5,4,252.77
1/5/2017,2017,1,5,5,262.08
1/5/2017,2017,1,5,6,216.80
1/5/2017,2017,1,5,7,188.45
1/5/2017,2017,1,5,8,180.39
1/5/2017,2017,1,5,9,149.16
1/5/2017,2017,1,5,10,163.38
1/5/2017,2017,1,5,11,155.18
1/5/2017,2017,1,5,12,165.18
1/5/2017,2017,1,5,13,183.50
1/5/2017,2017,1,5,14,228.44
1/5/2017,2017,1,5,15,215.07
1/5/2017,2017,1,5,16,201.29
1/5/2017,2017,1,5,17,213.56
1/5/2017,2017,1,5,18,215.85
1/5/2017,2017,1,5,19,220.90
1/5/2017,2017,1,5,20,218.81
1/5/2017,2017,1,5,21,205.68
1/5/2017,2017,1,5,22,183.23
1/5/2017,2017,1,5,23,140.55
1/6/2017,2017,1,6,0,133.21
1/6/2017,2017,1,6,1,139.82
1/6/2017,2017,1,6,2,125.00
1/6/2017,2017,1,6,3,141.74
1/6/2017,2017,1,6,4,144.67
1/6/2017,2017,1,6,5,148.11
1/6/2017,2017,1,6,6,154.18
1/6/2017,2017,1,6,7,157.02
1/6/2017,2017,1,6,8,146.96
1/6/2017,2017,1,6,9,141.64
1/6/2017,2017,1,6,10,145.35
1/6/2017,2017,1,6,11,137.86
1/6/2017,2017,1,6,12,132.22
1/6/2017,2017,1,6,13,128.59
1/6/2017,2017,1,6,14,137.92
1/6/2017,2017,1,6,15,139.22
1/6/2017,2017,1,6,16,149.75
1/6/2017,2017,1,6,17,159.53
1/6/2017,2017,1,6,18,171.26
1/6/2017,2017,1,6,19,163.13
1/6/2017,2017,1,6,20,155.56
1/6/2017,2017,1,6,21,152.07
1/6/2017,2017,1,6,22,154.58
1/6/2017,2017,1,6,23,159.27
1/7/2017,2017,1,7,0,164.01
1/7/2017,2017,1,7,1,171.08
1/7/2017,2017,1,7,2,180.44
1/7/2017,2017,1,7,3,191.49
1/7/2017,2017,1,7,4,196.75
1/7/2017,2017,1,7,5,200.33
1/7/2017,2017,1,7,6,205.10
1/7/2017,2017,1,7,7,204.24
1/7/2017,2017,1,7,8,195.70
1/7/2017,2017,1,7,9,189.24
1/7/2017,2017,1,7,10,188.77
1/7/2017,2017,1,7,11,176.14
1/7/2017,2017,1,7,12,172.36
1/7/2017,2017,1,7,13,172.35
1/7/2017,2017,1,7,14,164.39
1/7/2017,2017,1,7,15,165.74
1/7/2017,2017,1,7,16,167.03
1/7/2017,2017,1,7,17,175.14
1/7/2017,2017,1,7,18,181.45
1/7/2017,2017,1,7,19,179.11
1/7/2017,2017,1,7,20,158.62
1/7/2017,2017,1,7,21,126.46
1/7/2017,2017,1,7,22,112.93
1/7/2017,2017,1,7,23,104.70
1/8/2017,2017,1,8,0,103.85
1/8/2017,2017,1,8,1,107.73
1/8/2017,2017,1,8,2,103.44
1/8/2017,2017,1,8,3,101.94
1/8/2017,2017,1,8,4,101.27
1/8/2017,2017,1,8,5,101.22
1/8/2017,2017,1,8,6,98.83
1/8/2017,2017,1,8,7,103.93
1/8/2017,2017,1,8,8,101.18
1/11/2017,2017,1,11,13,45.75
1/11/2017,2017,1,11,14,45.20
1/11/2017,2017,1,11,15,46.95
1/11/2017,2017,1,11,16,51.24
1/11/2017,2017,1,11,17,62.11
1/12/2017,2017,1,12,15,60.30
1/12/2017,2017,1,12,16,62.77
1/12/2017,2017,1,12,17,69.36
1/12/2017,2017,1,12,18,64.38
1/12/2017,2017,1,12,19,55.37
1/12/2017,2017,1,12,20,48.65
1/12/2017,2017,1,12,21,47.34
1/12/2017,2017,1,12,22,45.69
1/12/2017,2017,1,12,23,42.62
1/13/2017,2017,1,13,0,45.76
1/13/2017,2017,1,13,1,52.26
1/13/2017,2017,1,13,2,63.15
1/13/2017,2017,1,13,3,75.21
1/13/2017,2017,1,13,4,81.87
1/13/2017,2017,1,13,5,65.92
1/13/2017,2017,1,13,6,49.55
1/13/2017,2017,1,13,7,41.07
1/13/2017,2017,1,13,8,31.19
1/13/2017,2017,1,13,9,28.86
1/13/2017,2017,1,13,10,19.79
1/13/2017,2017,1,13,11,31.39
1/13/2017,2017,1,13,12,29.79
1/13/2017,2017,1,13,13,31.88
1/13/2017,2017,1,13,14,26.62
1/13/2017,2017,1,13,15,20.46
1/13/2017,2017,1,13,16,19.44
1/13/2017,2017,1,13,17,20.97
1/13/2017,2017,1,13,18,20.37
1/13/2017,2017,1,13,19,17.37
1/13/2017,2017,1,13,20,13.48
1/13/2017,2017,1,13,21,12.73
1/13/2017,2017,1,13,22,11.49
1/13/2017,2017,1,13,23,12.47
1/14/2017,2017,1,14,0,14.40
1/14/2017,2017,1,14,1,16.63
1/14/2017,2017,1,14,2,17.24
1/14/2017,2017,1,14,3,17.36
1/14/2017,2017,1,14,4,19.48
1/14/2017,2017,1,14,5,19.16
1/14/2017,2017,1,14,6,18.90
1/14/2017,2017,1,14,7,21.28
1/14/2017,2017,1,14,8,23.44
1/14/2017,2017,1,14,9,27.06
1/14/2017,2017,1,14,10,28.49
1/14/2017,2017,1,14,11,30.45
1/14/2017,2017,1,14,12,29.59
1/14/2017,2017,1,14,13,28.34
1/14/2017,2017,1,14,14,31.10
1/14/2017,2017,1,14,15,34.04
1/14/2017,2017,1,14,16,35.01
1/14/2017,2017,1,14,17,37.00
1/14/2017,2017,1,14,18,30.44
1/14/2017,2017,1,14,19,23.74
1/14/2017,2017,1,14,20,19.48
1/14/2017,2017,1,14,21,16.80
1/14/2017,2017,1,14,22,18.25
1/14/2017,2017,1,14,23,15.73
1/15/2017,2017,1,15,0,17.22
1/15/2017,2017,1,15,1,20.78
1/15/2017,2017,1,15,2,31.59
1/15/2017,2017,1,15,3,41.34
1/15/2017,2017,1,15,4,45.86
