date,year,month,day,hour,value,aqi
1/1/2017,2017,1,1,0,507,504
1/1/2017,2017,1,1,1,505,503
1/1/2017,2017,1,1,2,485,490
1/1/2017,2017,1,1,3,466,477
1/1/2017,2017,1,1,4,435,457
1/1/2017,2017,1,1,5,405,437
1/1/2017,2017,1,1,6,402,435
1/1/2017,2017,1,1,7,407,438
1/1/2017,2017,1,1,8,435,457
1/1/2017,2017,1,1,9,472,481
1/1/2017,2017,1,1,10,465,477
1/1/2017,2017,1,1,11,473,482
1/1/2017,2017,1,1,12,456,471
1/1/2017,2017,1,1,13,474,483
1/1/2017,2017,1,1,14,510,506
1/1/2017,2017,1,1,15,596,563
1/1/2017,2017,1,1,16,580,553
1/1/2017,2017,1,1,17,556,537
1/1/2017,2017,1,1,18,522,514
1/1/2017,2017,1,1,19,495,496
1/1/2017,2017,1,1,20,500,500
1/1/2017,2017,1,1,21,484,489
1/1/2017,2017,1,1,22,452,468
1/1/2017,2017,1,1,23,427,452
1/2/2017,2017,1,2,0,444,463
1/2/2017,2017,1,2,1,428,452
1/2/2017,2017,1,2,2,466,477
1/2/2017,2017,1,2,3,452,468
1/2/2017,2017,1,2,4,442,461
1/2/2017,2017,1,2,5,390,427
1/2/2017,2017,1,2,6,317,367
1/2/2017,2017,1,2,7,139,194
1/2/2017,2017,1,2,8,93,170
1/2/2017,2017,1,2,9,27,82
1/2/2017,2017,1,2,10,17,61
1/2/2017,2017,1,2,11,22,72
1/2/2017,2017,1,2,12,26,80
1/2/2017,2017,1,2,13,193,243
1/2/2017,2017,1,2,14,251,301
1/2/2017,2017,1,2,15,174,224
1/2/2017,2017,1,2,16,271,321
1/2/2017,2017,1,2,17,251,301
1/2/2017,2017,1,2,18,234,284
1/2/2017,2017,1,2,19,179,229
1/2/2017,2017,1,2,20,170,220
1/2/2017,2017,1,2,21,139,194
1/2/2017,2017,1,2,22,159,209
1/2/2017,2017,1,2,23,210,260
1/3/2017,2017,1,3,0,214,264
1/3/2017,2017,1,3,1,283,333
1/3/2017,2017,1,3,2,313,363
1/3/2017,2017,1,3,3,341,391
1/3/2017,2017,1,3,4,357,405
1/3/2017,2017,1,3,5,347,397
1/3/2017,2017,1,3,6,379,420
1/3/2017,2017,1,3,7,375,417
1/3/2017,2017,1,3,8,370,414
1/3/2017,2017,1,3,9,365,411
1/3/2017,2017,1,3,10,361,408
1/3/2017,2017,1,3,11,295,345
1/3/2017,2017,1,3,12,235,285
1/3/2017,2017,1,3,13,238,288
1/3/2017,2017,1,3,14,247,297
1/3/2017,2017,1,3,15,256,306
1/3/2017,2017,1,3,16,293,343
