date,year,month,day,hour,value
1/1/2019,2019,1,1,0,61
1/1/2019,2019,1,1,1,57
1/1/2019,2019,1,1,2,52
1/1/2019,2019,1,1,3,52
1/1/2019,2019,1,1,4,46
1/1/2019,2019,1,1,5,48
1/1/2019,2019,1,1,6,50
1/1/2019,2019,1,1,7,54
1/1/2019,2019,1,1,8,53
1/1/2019,2019,1,1,9,54
1/1/2019,2019,1,1,10,45
1/1/2019,2019,1,1,11,24
1/1/2019,2019,1,1,12,22
1/1/2019,2019,1,1,13,13
1/1/2019,2019,1,1,14,21
1/1/2019,2019,1,1,15,17
1/1/2019,2019,1,1,16,14
1/1/2019,2019,1,1,17,15
1/1/2019,2019,1,1,18,17
1/1/2019,2019,1,1,19,17
1/1/2019,2019,1,1,20,18
1/1/2019,2019,1,1,21,14
1/1/2019,2019,1,1,22,18
1/1/2019,2019,1,1,23,12
1/2/2019,2019,1,2,0,20
1/2/2019,2019,1,2,1,23
1/2/2019,2019,1,2,2,17
1/2/2019,2019,1,2,3,15
1/2/2019,2019,1,2,4,15
1/2/2019,2019,1,2,5,16
1/2/2019,2019,1,2,6,7
1/2/2019,2019,1,2,7,9
1/2/2019,2019,1,2,8,10
1/2/2019,2019,1,2,9,10
1/2/2019,2019,1,2,10,13
1/2/2019,2019,1,2,11,17
1/2/2019,2019,1,2,12,24
1/2/2019,2019,1,2,13,26
1/2/2019,2019,1,2,14,36
1/2/2019,2019,1,2,15,42
1/2/2019,2019,1,2,16,47
1/2/2019,2019,1,2,17,61
1/2/2019,2019,1,2,18,79
1/2/2019,2019,1,2,19,85
1/2/2019,2019,1,2,20,148
1/2/2019,2019,1,2,21,176
1/2/2019,2019,1,2,22,200
1/2/2019,2019,1,2,23,217
1/3/2019,2019,1,3,0,227
1/3/2019,2019,1,3,1,225
1/3/2019,2019,1,3,2,230
1/3/2019,2019,1,3,3,186
1/3/2019,2019,1,3,4,196
1/3/2019,2019,1,3,5,132
1/3/2019,2019,1,3,6,80
1/3/2019,2019,1,3,7,58
1/3/2019,2019,1,3,8,54
1/3/2019,2019,1,3,9,61
1/3/2019,2019,1,3,10,77
1/3/2019,2019,1,3,11,80
1/3/2019,2019,1,3,12,94
1/3/2019,2019,1,3,13,110
1/3/2019,2019,1,3,14,118
1/3/2019,2019,1,3,15,122
1/3/2019,2019,1,3,16,119
1/3/2019,2019,1,3,17,128
1/3/2019,2019,1,3,18,125
1/3/2019,2019,1,3,19,125
1/3/2019,2019,1,3,20,126
1/3/2019,2019,1,3,21,131
1/3/2019,2019,1,3,22,132
1/3/2019,2019,1,3,23,141
1/4/2019,2019,1,4,0,142
1/4/2019,2019,1,4,1,94
1/4/2019,2019,1,4,2,32
1/4/2019,2019,1,4,3,24
1/4/2019,2019,1,4,4,15
1/4/2019,2019,1,4,5,10
1/4/2019,2019,1,4,6,9
1/4/2019,2019,1,4,7,6
1/4/2019,2019,1,4,8,6
1/4/2019,2019,1,4,9,6
1/4/2019,2019,1,4,10,6
1/4/2019,2019,1,4,11,6
1/4/2019,2019,1,4,12,10
1/4/2019,2019,1,4,13,11
1/4/2019,2019,1,4,14,9
1/4/2019,2019,1,4,15,7
1/4/2019,2019,1,4,16,8
1/4/2019,2019,1,4,17,9
1/4/2019,2019,1,4,18,11
1/4/2019,2019,1,4,19,12
1/4/2019,2019,1,4,20,14
1/4/2019,2019,1,4,21,17
1/4/2019,2019,1,4,22,12
1/4/2019,2019,1,4,23,10
1/5/2019,2019,1,5,0,19
1/5/2019,2019,1,5,1,18
1/5/2019,2019,1,5,2,12
1/5/2019,2019,1,5,3,14
1/5/2019,2019,1,5,4,16
1/5/2019,2019,1,5,5,8
1/5/2019,2019,1,5,6,8
1/5/2019,2019,1,5,7,13
1/5/2019,2019,1,5,8,7
1/5/2019,2019,1,5,9,9
1/5/2019,2019,1,5,10,8
1/5/2019,2019,1,5,11,9
1/5/2019,2019,1,5,12,13
1/5/2019,2019,1,5,13,8
1/5/2019,2019,1,5,14,5
1/5/2019,2019,1,5,15,11
1/5/2019,2019,1,5,16,11
1/5/2019,2019,1,5,17,11
1/5/2019,2019,1,5,18,15
1/5/2019,2019,1,5,19,12
1/5/2019,2019,1,5,20,16
1/5/2019,2019,1,5,21,11
1/5/2019,2019,1,5,22,17
1/5/2019,2019,1,5,23,40
1/6/2019,2019,1,6,0,34
1/6/2019,2019,1,6,1,55
1/6/2019,2019,1,6,2,38
1/6/2019,2019,1,6,3,51
1/6/2019,2019,1,6,4,41
1/6/2019,2019,1,6,5,39
1/6/2019,2019,1,6,6,40
1/6/2019,2019,1,6,7,38
1/6/2019,2019,1,6,8,29
1/6/2019,2019,1,6,9,26
1/6/2019,2019,1,6,10,25
1/6/2019,2019,1,6,11,41
1/6/2019,2019,1,6,12,41
1/6/2019,2019,1,6,13,67
1/6/2019,2019,1,6,14,59
1/6/2019,2019,1,6,15,71
1/6/2019,2019,1,6,16,73
