date,year,month,day,hour,value
5/16/2014,2014,5,16,9,69.86
5/16/2014,2014,5,16,10,66.35
5/16/2014,2014,5,16,11,65.68
5/16/2014,2014,5,16,12,63.87
5/16/2014,2014,5,16,13,60.80
5/16/2014,2014,5,16,14,50.17
5/16/2014,2014,5,16,15,47.59
5/16/2014,2014,5,16,16,47.30
5/16/2014,2014,5,16,17,36.84
5/16/2014,2014,5,16,18,31.60
5/16/2014,2014,5,16,19,25.86
5/16/2014,2014,5,16,20,20.86
5/16/2014,2014,5,16,21,20.91
5/16/2014,2014,5,16,22,17.10
5/16/2014,2014,5,16,23,20.20
5/17/2014,2014,5,17,0,18.71
5/17/2014,2014,5,17,1,15.44
5/17/2014,2014,5,17,2,16.87
5/17/2014,2014,5,17,3,16.95
5/17/2014,2014,5,17,4,28.76
5/17/2014,2014,5,17,5,36.88
5/17/2014,2014,5,17,6,44.15
5/17/2014,2014,5,17,7,44.55
5/17/2014,2014,5,17,8,45.31
5/17/2014,2014,5,17,9,44.43
5/17/2014,2014,5,17,10,46.40
5/17/2014,2014,5,17,11,47.94
5/17/2014,2014,5,17,12,47.54
5/17/2014,2014,5,17,13,45.42
5/17/2014,2014,5,17,14,48.32
5/17/2014,2014,5,17,15,50.84
5/17/2014,2014,5,17,16,53.52
5/17/2014,2014,5,17,17,55.48
5/17/2014,2014,5,17,18,60.49
5/17/2014,2014,5,17,19,62.55
5/17/2014,2014,5,17,20,60.67
5/17/2014,2014,5,17,21,51.04
5/17/2014,2014,5,17,22,43.99
5/17/2014,2014,5,17,23,44.78
5/18/2014,2014,5,18,0,44.57
5/18/2014,2014,5,18,1,44.04
5/18/2014,2014,5,18,2,40.57
5/18/2014,2014,5,18,3,41.28
5/18/2014,2014,5,18,4,42.26
5/18/2014,2014,5,18,5,38.44
5/18/2014,2014,5,18,6,36.34
5/18/2014,2014,5,18,7,39.30
5/18/2014,2014,5,18,8,38.66
5/18/2014,2014,5,18,9,37.57
5/18/2014,2014,5,18,10,41.53
5/18/2014,2014,5,18,11,40.11
5/18/2014,2014,5,18,12,43.95
5/18/2014,2014,5,18,13,42.47
5/18/2014,2014,5,18,14,45.76
5/18/2014,2014,5,18,15,48.25
5/18/2014,2014,5,18,16,52.70
5/18/2014,2014,5,18,17,53.93
5/18/2014,2014,5,18,18,53.03
5/18/2014,2014,5,18,19,50.90
5/18/2014,2014,5,18,20,54.36
5/18/2014,2014,5,18,21,57.67
5/18/2014,2014,5,18,22,65.13
5/18/2014,2014,5,18,23,71.07
5/19/2014,2014,5,19,0,76.68
5/19/2014,2014,5,19,1,79.16
5/19/2014,2014,5,19,2,90.70
5/19/2014,2014,5,19,3,102.00
5/19/2014,2014,5,19,4,114.36
5/19/2014,2014,5,19,5,114.99
5/19/2014,2014,5,19,6,111.57
5/19/2014,2014,5,19,7,102.98
5/19/2014,2014,5,19,8,93.52
5/19/2014,2014,5,19,9,67.47
5/19/2014,2014,5,19,10,65.84
5/19/2014,2014,5,19,11,59.12
5/19/2014,2014,5,19,12,61.08
5/19/2014,2014,5,19,13,60.56
5/19/2014,2014,5,19,14,57.41
5/19/2014,2014,5,19,15,59.43
5/19/2014,2014,5,19,16,59.06
5/19/2014,2014,5,19,17,63.32
5/19/2014,2014,5,19,18,65.90
5/19/2014,2014,5,19,19,75.84
5/19/2014,2014,5,19,20,89.70
5/19/2014,2014,5,19,21,103.61
5/19/2014,2014,5,19,22,109.53
5/19/2014,2014,5,19,23,111.40
5/20/2014,2014,5,20,0,112.17
5/20/2014,2014,5,20,1,107.53
5/20/2014,2014,5,20,2,99.40
5/20/2014,2014,5,20,3,100.45
5/20/2014,2014,5,20,4,106.96
5/20/2014,2014,5,20,5,117.65
5/20/2014,2014,5,20,6,128.25
5/20/2014,2014,5,20,7,131.62
5/20/2014,2014,5,20,8,138.29
5/20/2014,2014,5,20,9,139.09
5/20/2014,2014,5,20,10,147.51
5/20/2014,2014,5,20,11,151.83
5/20/2014,2014,5,20,12,147.95
5/20/2014,2014,5,20,13,129.51
5/20/2014,2014,5,20,14,105.79
5/20/2014,2014,5,20,15,92.72
5/20/2014,2014,5,20,16,65.76
5/20/2014,2014,5,20,17,59.49
5/20/2014,2014,5,20,18,57.28
5/20/2014,2014,5,20,19,38.15
5/20/2014,2014,5,20,20,24.75
5/20/2014,2014,5,20,21,17.53
5/20/2014,2014,5,20,22,14.07
5/20/2014,2014,5,20,23,14.71
5/21/2014,2014,5,21,0,15.06
5/21/2014,2014,5,21,1,17.00
5/21/2014,2014,5,21,2,20.17
5/21/2014,2014,5,21,3,25.22
5/21/2014,2014,5,21,4,35.23
5/21/2014,2014,5,21,5,59.62
5/21/2014,2014,5,21,6,71.77
5/21/2014,2014,5,21,7,76.81
5/21/2014,2014,5,21,8,80.65
5/21/2014,2014,5,21,9,76.76
5/21/2014,2014,5,21,10,71.55
5/21/2014,2014,5,21,11,68.45
5/21/2014,2014,5,21,12,70.20
5/21/2014,2014,5,21,13,71.39
5/21/2014,2014,5,21,14,68.95
5/21/2014,2014,5,21,15,74.20
5/21/2014,2014,5,21,16,81.18
5/21/2014,2014,5,21,17,80.99
5/21/2014,2014,5,21,18,84.84
5/21/2014,2014,5,21,19,84.44
5/21/2014,2014,5,21,20,85.11
5/21/2014,2014,5,21,21,85.62
