date,temp,atmospheric_pressure,pressure_change,humidity,wind_direction,wind_speed_m_s,precipitation
18.09.2019 17:00,24.5,761.6,-4.3,21,Wind blowing from the south,3,
18.09.2019 14:00,24.9,765.9,0.8,17,Wind blowing from the south-east,2,
18.09.2019 11:00,22.8,765.1,-3.3,20,Wind blowing from the north-west,1,
18.09.2019 08:00,19.5,768.4,4.9,26,Wind blowing from the north-east,4,
18.09.2019 05:00,17.3,763.5,-0.7,38,Wind blowing from the east,2,
18.09.2019 02:00,19.8,764.2,5.3,30,Wind blowing from the north-east,2,
17.09.2019 23:00,23.2,758.9,-1.4,32,Wind blowing from the north-northwest,3,
17.09.2019 20:00,21.7,760.3,4.1,68,Wind blowing from the west-northwest,1,
17.09.2019 17:00,26.0,756.2,-2.4,56,Wind blowing from the south-west,3,
17.09.2019 14:00,26.5,758.6,1.6,55,Wind blowing from the south-west,4,
17.09.2019 11:00,22.9,757.0,-3.8,63,Wind blowing from the south,2,
17.09.2019 08:00,19.0,760.8,3.5,73,Wind blowing from the south-west,2,
17.09.2019 05:00,16.3,757.3,-3.3,82,Wind blowing from the south,1,
17.09.2019 02:00,18.0,760.6,3.3,70,Wind blowing from the south-west,2,
16.09.2019 23:00,18.6,757.3,-2.3,58,Wind blowing from the west-southwest,1,
16.09.2019 20:00,22.0,759.6,3.4,37,Wind blowing from the south-southwest,3,
16.09.2019 17:00,26.6,756.2,-3.6,32,Wind blowing from the south-southwest,2,
16.09.2019 14:00,26.3,759.8,1.4,35,Wind blowing from the south-southwest,4,
16.09.2019 11:00,24.8,758.4,-2.6,36,Wind blowing from the north-northwest,1,
16.09.2019 08:00,21.3,761.0,4.9,61,Wind blowing from the north-northeast,1,
16.09.2019 05:00,18.1,756.1,-1.9,75,Wind blowing from the north-east,2,
16.09.2019 02:00,16.7,758.0,3.9,91,Wind blowing from the east,1,
15.09.2019 23:00,19.1,754.1,-2.3,81,"Calm, no wind",0,
15.09.2019 20:00,22.6,756.4,4.0,62,Wind blowing from the south-southwest,1,
15.09.2019 17:00,26.0,752.4,-3.5,55,Wind blowing from the south-west,2,
15.09.2019 14:00,26.4,755.9,1.7,50,Wind blowing from the south-southeast,2,
15.09.2019 11:00,24.5,754.2,-3.4,58,Wind blowing from the west,1,
15.09.2019 08:00,20.1,757.6,3.2,76,Wind blowing from the east-northeast,2,
15.09.2019 05:00,16.7,754.4,-3.5,92,"Calm, no wind",0,
15.09.2019 02:00,18.5,757.9,2.7,84,"Calm, no wind",0,
14.09.2019 23:00,21.4,755.2,-3.4,72,Wind blowing from the south-southwest,2,
14.09.2019 20:00,23.9,758.6,3.6,57,Wind blowing from the south-west,2,
14.09.2019 17:00,26.7,755.0,-3.5,38,Wind blowing from the south-west,2,
14.09.2019 14:00,28.3,758.5,1.7,29,Wind blowing from the east-southeast,1,
14.09.2019 11:00,26.6,756.8,-3.2,33,Wind blowing from the north,2,
14.09.2019 08:00,21.5,760.0,4.0,55,Wind blowing from the north,2,
14.09.2019 05:00,17.9,756.0,-2.7,90,Wind blowing from the east-northeast,1,
14.09.2019 02:00,18.5,758.7,3.5,92,"Calm, no wind",0,
13.09.2019 23:00,20.5,755.2,-2.3,86,Wind blowing from the west,1,
13.09.2019 20:00,22.8,757.5,4.6,70,Wind blowing from the south-southeast,1,
13.09.2019 17:00,26.0,752.9,-2.7,46,Wind blowing from the south-west,1,
13.09.2019 14:00,26.2,755.6,2.7,44,Wind blowing from the north-west,3,
13.09.2019 11:00,23.0,752.9,-2.9,67,Wind blowing from the west-northwest,2,
13.09.2019 08:00,18.7,755.8,3.9,93,Wind blowing from the west,2,18
13.09.2019 05:00,17.8,751.9,-3.3,94,Wind blowing from the west-northwest,1,
13.09.2019 02:00,18.2,755.2,2.1,93,Wind blowing from the west-southwest,1,8
12.09.2019 23:00,20.0,753.1,-3.7,76,Wind blowing from the south-southwest,1,
12.09.2019 20:00,20.8,756.8,3.1,68,Wind blowing from the south-southeast,2,
12.09.2019 17:00,21.7,753.7,-4.8,62,Wind blowing from the south,2,
12.09.2019 14:00,22.1,758.5,1.7,54,Wind blowing from the south-southwest,2,
12.09.2019 11:00,21.6,756.8,-3.5,54,Wind blowing from the south-southwest,2,
12.09.2019 08:00,19.4,760.3,3.3,65,Wind blowing from the east-northeast,1,Trace of precipitation
12.09.2019 05:00,19.0,757.0,-3.3,64,Wind blowing from the south-east,1,
12.09.2019 02:00,19.9,760.3,2.2,56,"Calm, no wind",0,
11.09.2019 23:00,21.4,758.1,-3.6,40,Wind blowing from the north-east,2,
11.09.2019 20:00,21.8,761.7,3.2,61,Wind blowing from the west-southwest,1,Trace of precipitation
11.09.2019 17:00,22.9,758.5,-4.2,52,Wind blowing from the south-west,2,
11.09.2019 14:00,23.7,762.7,1.5,53,Wind blowing from the east-southeast,1,
11.09.2019 11:00,22.4,761.2,-2.9,60,Wind blowing from the east-southeast,1,
11.09.2019 08:00,20.1,764.1,4.1,80,Wind blowing from the north-east,2,
11.09.2019 05:00,19.0,760.0,-2.7,90,Wind blowing from the east-northeast,1,
11.09.2019 02:00,19.4,762.7,3.3,88,"Calm, no wind",0,
10.09.2019 23:00,20.8,759.4,-2.9,83,Wind blowing from the north-east,1,
10.09.2019 20:00,20.9,762.3,4.4,81,Wind blowing from the east-northeast,1,Trace of precipitation
10.09.2019 17:00,21.2,757.9,-3.4,78,Wind blowing from the north-northeast,2,
10.09.2019 14:00,21.2,761.3,2.8,78,Wind blowing from the north-northeast,2,0.4
10.09.2019 11:00,20.3,758.5,-1.9,82,Wind blowing from the north-northeast,1,
10.09.2019 08:00,19.0,760.4,4.0,89,Wind blowing from the north-northeast,3,23
10.09.2019 05:00,19.0,756.4,-2.1,91,Wind blowing from the west-northwest,3,
10.09.2019 02:00,18.9,758.5,3.6,91,Wind blowing from the north-northeast,3,15
09.09.2019 23:00,20.1,754.9,-1.6,91,Wind blowing from the north-northwest,3,
09.09.2019 20:00,22.1,756.5,5.5,89,Wind blowing from the east,3,27
09.09.2019 17:00,30.0,751.0,-3.0,53,Wind blowing from the east-southeast,3,
09.09.2019 14:00,31.0,754.0,1.9,48,Wind blowing from the south-east,3,
09.09.2019 11:00,29.0,752.1,-2.9,58,Wind blowing from the east-northeast,2,
09.09.2019 08:00,24.9,755.0,4.5,74,Wind blowing from the east-northeast,3,
09.09.2019 05:00,23.2,750.5,-2.3,74,Wind blowing from the east-northeast,2,
09.09.2019 02:00,25.6,752.8,3.5,62,Wind blowing from the east-southeast,2,
08.09.2019 23:00,26.6,749.3,-2.3,56,Wind blowing from the south-southwest,1,
08.09.2019 20:00,30.1,751.6,4.5,41,Wind blowing from the south-southwest,1,
08.09.2019 17:00,34.4,747.1,-3.0,29,Wind blowing from the south-southwest,4,
08.09.2019 14:00,35.2,750.1,1.9,25,Wind blowing from the south-west,2,
08.09.2019 11:00,31.9,748.2,-3.2,33,Wind blowing from the north,3,
08.09.2019 08:00,25.8,751.4,4.5,59,Wind blowing from the north-northeast,2,
08.09.2019 05:00,21.2,746.9,-2.1,72,Wind blowing from the north-east,1,
08.09.2019 02:00,23.0,749.0,3.6,60,Wind blowing from the west-southwest,1,
07.09.2019 23:00,26.6,745.4,-2.2,46,Wind blowing from the south-southwest,2,
07.09.2019 20:00,28.7,747.6,3.8,42,Wind blowing from the south-west,3,
07.09.2019 17:00,32.8,743.8,-3.6,32,Wind blowing from the south-southwest,4,
07.09.2019 14:00,33.8,747.4,0.6,24,Wind blowing from the north,2,
07.09.2019 11:00,29.9,746.8,-4.2,38,Wind blowing from the west-northwest,2,
07.09.2019 08:00,24.6,751.0,2.6,61,Wind blowing from the north,2,
07.09.2019 05:00,21.3,748.4,-3.5,77,Wind blowing from the north-northeast,1,
07.09.2019 02:00,22.0,751.9,2.7,71,"Calm, no wind",0,
06.09.2019 23:00,24.2,749.2,-3.0,60,"Calm, no wind",0,
06.09.2019 20:00,27.2,752.2,3.6,47,Wind blowing from the south-southwest,2,
06.09.2019 17:00,31.3,748.6,-3.3,36,Wind blowing from the south,2,
06.09.2019 14:00,31.5,751.9,1.5,35,Wind blowing from the south,3,
06.09.2019 11:00,28.8,750.4,-3.4,45,Wind blowing from the west,1,
06.09.2019 08:00,23.6,753.8,4.0,63,Wind blowing from the north-northeast,1,
06.09.2019 05:00,19.2,749.8,-3.1,78,Wind blowing from the south-southwest,1,
06.09.2019 02:00,20.8,752.9,3.2,68,Wind blowing from the west,1,
05.09.2019 23:00,23.6,749.7,-2.6,54,Wind blowing from the south-southwest,1,
05.09.2019 20:00,26.4,752.3,3.8,47,Wind blowing from the south-west,2,
05.09.2019 17:00,30.0,748.5,-3.8,38,Wind blowing from the west-southwest,3,
05.09.2019 14:00,30.9,752.3,1.8,34,Wind blowing from the south-west,2,
05.09.2019 11:00,28.6,750.5,-3.6,42,Wind blowing from the south-southwest,2,
05.09.2019 08:00,22.2,754.1,3.7,63,Wind blowing from the west,1,
05.09.2019 05:00,19.0,750.4,-3.5,75,Wind blowing from the south,1,
05.09.2019 02:00,20.4,753.9,2.3,65,Wind blowing from the south-west,1,
04.09.2019 23:00,23.2,751.6,-2.8,54,Wind blowing from the south-southwest,1,
04.09.2019 20:00,25.9,754.4,3.2,45,Wind blowing from the south-southwest,2,
04.09.2019 17:00,28.5,751.2,-3.7,43,Wind blowing from the south-southeast,3,
04.09.2019 14:00,30.5,754.9,1.0,39,Wind blowing from the east-southeast,1,
04.09.2019 11:00,27.9,753.9,-3.4,51,Wind blowing from the north-northeast,1,
04.09.2019 08:00,23.0,757.3,3.2,72,Wind blowing from the north-northeast,2,
04.09.2019 05:00,20.4,754.1,-2.9,78,Wind blowing from the north-east,1,
04.09.2019 02:00,22.2,757.0,3.0,67,Wind blowing from the south,1,
03.09.2019 23:00,25.8,754.0,-2.3,53,Wind blowing from the south,2,
03.09.2019 20:00,27.6,756.3,3.4,46,Wind blowing from the south-west,1,
03.09.2019 17:00,31.4,752.9,-3.8,35,Wind blowing from the south,4,
03.09.2019 14:00,31.7,756.7,1.3,35,Wind blowing from the south-southwest,3,
03.09.2019 11:00,29.1,755.4,-3.6,44,Wind blowing from the south,2,
03.09.2019 08:00,23.9,759.0,3.6,64,Wind blowing from the north-east,1,
03.09.2019 05:00,19.3,755.4,-3.0,80,Wind blowing from the south-southwest,1,
03.09.2019 02:00,21.3,758.4,3.1,70,Wind blowing from the south-west,1,
02.09.2019 23:00,24.2,755.3,-2.9,54,Wind blowing from the south-southwest,1,
02.09.2019 20:00,27.1,758.2,4.0,43,Wind blowing from the south,2,
02.09.2019 17:00,31.4,754.2,-4.0,29,Wind blowing from the south-southwest,4,
02.09.2019 14:00,31.9,758.2,1.9,26,Wind blowing from the south,4,
02.09.2019 11:00,29.4,756.3,-3.5,38,Wind blowing from the west-southwest,3,
02.09.2019 08:00,23.9,759.8,3.8,58,Wind blowing from the east-northeast,1,
02.09.2019 05:00,18.5,756.0,-2.8,76,"Calm, no wind",0,
02.09.2019 02:00,21.6,758.8,2.9,61,Wind blowing from the west,1,
01.09.2019 23:00,23.8,755.9,-2.5,51,Wind blowing from the south-southwest,2,
01.09.2019 20:00,27.2,758.4,4.1,35,Wind blowing from the south-west,2,
01.09.2019 17:00,30.8,754.3,-3.3,30,Wind blowing from the south,3,
01.09.2019 14:00,31.2,757.6,1.9,26,Wind blowing from the south-west,4,
01.09.2019 11:00,28.6,755.7,-3.0,37,Wind blowing from the south-southwest,3,
01.09.2019 08:00,23.2,758.7,4.0,58,Wind blowing from the west,1,
01.09.2019 05:00,18.7,754.7,-3.2,70,Wind blowing from the east,1,
01.09.2019 02:00,22.1,757.9,3.0,56,Wind blowing from the south-southwest,2,
31.08.2019 23:00,23.2,754.9,-2.3,52,Wind blowing from the south-southwest,1,
31.08.2019 20:00,26.7,757.2,4.0,40,Wind blowing from the south-southwest,2,
31.08.2019 17:00,30.5,753.2,-3.4,29,Wind blowing from the south-southwest,3,
31.08.2019 14:00,30.5,756.6,1.7,22,Wind blowing from the south-southwest,2,
31.08.2019 11:00,28.3,754.9,-3.3,32,Wind blowing from the north-northeast,2,
31.08.2019 08:00,23.3,758.2,4.2,48,Wind blowing from the north-east,2,
31.08.2019 05:00,17.5,754.0,-3.0,71,"Calm, no wind",0,
31.08.2019 02:00,21.0,757.0,2.9,52,Wind blowing from the south-southwest,1,
30.08.2019 23:00,23.0,754.1,-2.0,43,Wind blowing from the south-west,2,
30.08.2019 20:00,26.3,756.1,4.1,33,Wind blowing from the south-southwest,2,
30.08.2019 17:00,30.7,752.0,-3.7,25,Wind blowing from the south-southwest,3,
30.08.2019 14:00,29.1,755.7,1.9,27,Wind blowing from the north-northeast,3,
30.08.2019 11:00,28.0,753.8,-2.7,29,Wind blowing from the north-east,5,
30.08.2019 08:00,24.8,756.5,3.7,38,Wind blowing from the north-west,3,
30.08.2019 05:00,22.8,752.8,-2.7,42,Wind blowing from the north-northwest,2,
30.08.2019 02:00,24.1,755.5,3.3,38,Wind blowing from the north-northwest,2,
29.08.2019 23:00,25.6,752.2,-1.9,34,Wind blowing from the north-northwest,2,
29.08.2019 20:00,25.4,754.1,3.8,33,"Calm, no wind",0,
29.08.2019 17:00,29.4,750.3,-3.7,23,Wind blowing from the north-northwest,3,
29.08.2019 14:00,28.9,754.0,2.0,25,Wind blowing from the east,1,
29.08.2019 11:00,26.6,752.0,-3.1,28,Wind blowing from the north-northwest,3,
29.08.2019 08:00,23.7,755.1,4.3,33,Wind blowing from the north,4,
29.08.2019 05:00,20.0,750.8,-3.1,43,Wind blowing from the north-west,1,
29.08.2019 02:00,19.2,753.9,2.9,49,Wind blowing from the north-east,1,
28.08.2019 23:00,24.8,751.0,-2.2,31,Wind blowing from the north,4,
28.08.2019 20:00,26.8,753.2,5.2,24,Wind blowing from the north-northwest,4,
28.08.2019 17:00,30.4,748.0,-3.6,23,Wind blowing from the west-northwest,6,
28.08.2019 14:00,30.3,751.6,1.9,24,Wind blowing from the north-west,6,
28.08.2019 11:00,28.2,749.7,-3.0,26,Wind blowing from the north-west,3,
28.08.2019 08:00,27.2,752.7,4.2,24,Wind blowing from the north-west,3,
28.08.2019 05:00,18.1,748.5,-3.4,53,Wind blowing from the west,1,
28.08.2019 02:00,22.4,751.9,2.6,35,Wind blowing from the west,2,
27.08.2019 23:00,25.0,749.3,-2.6,39,Wind blowing from the west-northwest,1,
27.08.2019 20:00,28.2,751.9,3.9,35,Wind blowing from the west-southwest,3,
27.08.2019 17:00,33.1,748.0,-3.6,20,Wind blowing from the south-west,4,
27.08.2019 14:00,33.1,751.6,1.7,18,Wind blowing from the north-northwest,4,
27.08.2019 11:00,30.7,749.9,-3.8,26,Wind blowing from the west-northwest,4,
27.08.2019 08:00,23.4,753.7,3.2,75,Wind blowing from the north-northwest,2,
27.08.2019 05:00,18.6,750.5,-3.5,92,Wind blowing from the east-northeast,1,
27.08.2019 02:00,19.9,754.0,2.7,88,Wind blowing from the west-southwest,1,
26.08.2019 23:00,23.1,751.3,-3.0,73,Wind blowing from the west,2,
26.08.2019 20:00,24.3,754.3,4.0,71,Wind blowing from the south-west,2,
26.08.2019 17:00,25.3,750.3,-3.2,66,Wind blowing from the south-southwest,2,
26.08.2019 14:00,25.7,753.5,2.4,62,Wind blowing from the south-southwest,2,
26.08.2019 11:00,24.0,751.1,-3.4,72,Wind blowing from the south-southwest,2,
26.08.2019 08:00,21.9,754.5,3.3,83,Wind blowing from the south-east,1,
26.08.2019 05:00,20.5,751.2,-3.9,89,Wind blowing from the south-west,1,
26.08.2019 02:00,21.5,755.1,2.8,81,Wind blowing from the south-west,2,
25.08.2019 23:00,23.6,752.3,-2.9,62,Wind blowing from the south-southwest,1,
25.08.2019 20:00,25.8,755.2,3.4,52,Wind blowing from the south-west,2,
25.08.2019 17:00,29.4,751.8,-3.9,40,Wind blowing from the south-southwest,4,
25.08.2019 14:00,29.8,755.7,1.8,35,Wind blowing from the south-southwest,5,
25.08.2019 11:00,28.3,753.9,-3.1,41,Wind blowing from the south-west,5,
25.08.2019 08:00,22.9,757.0,3.8,67,Wind blowing from the south-southwest,1,
25.08.2019 05:00,18.2,753.2,-2.9,83,Wind blowing from the north,1,
25.08.2019 02:00,20.2,756.1,3.2,72,Wind blowing from the south-southeast,1,
24.08.2019 23:00,22.3,752.9,-2.9,62,Wind blowing from the south-southwest,2,
24.08.2019 20:00,25.6,755.8,4.0,44,Wind blowing from the south-west,3,
24.08.2019 17:00,30.2,751.8,-3.4,35,Wind blowing from the south-southwest,4,
24.08.2019 14:00,30.8,755.2,1.7,37,Wind blowing from the south-west,2,
