date,temp,atmospheric_pressure,pressure_change,humidity,wind_direction,wind_speed_m_s,precipitation
31.12.2016 23:00,-5.7,763.8,-3.5,93,Wind blowing from the south-southwest,2,
31.12.2016 20:00,-4.2,767.3,4.1,88,Wind blowing from the south-west,2,
31.12.2016 17:00,0.1,763.2,-3.7,69,Wind blowing from the south-southwest,2,
31.12.2016 14:00,2.0,766.9,2.1,55,Wind blowing from the south-southwest,2,
31.12.2016 11:00,-1.2,764.8,-3.5,69,"Calm, no wind",0,
31.12.2016 08:00,-6.9,768.3,4.2,91,"Calm, no wind",0,
31.12.2016 05:00,-6.1,764.1,-3.8,90,Wind blowing from the east-northeast,2,
31.12.2016 02:00,-6.4,767.9,3.1,86,"Calm, no wind",0,
30.12.2016 23:00,-4.5,764.8,-3.6,80,Wind blowing from the south-west,1,
30.12.2016 20:00,-2.8,768.4,4.2,73,Wind blowing from the west-southwest,1,
30.12.2016 17:00,-0.7,764.2,-3.6,64,Wind blowing from the south-southwest,1,
30.12.2016 14:00,1.2,767.8,0.9,50,Wind blowing from the south-west,2,
30.12.2016 11:00,-3.2,766.9,-3.6,74,Wind blowing from the east-northeast,1,
30.12.2016 08:00,-7.4,770.5,4.2,88,Wind blowing from the west-southwest,1,
30.12.2016 05:00,-7.5,766.3,-4.9,88,Wind blowing from the east-northeast,1,
30.12.2016 02:00,-5.8,771.2,3.0,85,Wind blowing from the south-southwest,1,
29.12.2016 23:00,-4.0,768.2,-3.9,76,Wind blowing from the south-west,1,
29.12.2016 20:00,-2.4,772.1,3.7,57,Wind blowing from the south-southwest,2,
29.12.2016 17:00,-0.3,768.4,-4.2,29,Wind blowing from the south-west,2,
29.12.2016 14:00,1.5,772.6,1.2,25,Wind blowing from the south-west,5,
29.12.2016 11:00,-0.7,771.4,-3.8,26,Wind blowing from the west-northwest,1,
29.12.2016 08:00,-6.7,775.2,4.5,42,"Calm, no wind",0,
29.12.2016 05:00,-5.2,770.7,-4.3,34,Wind blowing from the north-east,3,
29.12.2016 02:00,-3.1,775.0,3.3,28,Wind blowing from the north-northeast,2,
28.12.2016 23:00,-2.0,771.7,-2.4,26,Wind blowing from the north,3,
28.12.2016 20:00,-0.3,774.1,5.4,23,Wind blowing from the north-northwest,4,
