date	session_rate
2016-02-19 14:50:03	1445
2016-02-19 14:51:03	2963
2016-02-19 14:52:02	5342
2016-02-19 14:53:03	40
2016-02-19 14:54:02	8
2016-02-19 14:55:03	120
2016-02-19 14:56:02	1912
2016-02-19 14:57:03	1995
2016-02-19 14:58:03	26
2016-02-19 14:59:03	2290
2016-02-19 15:00:03	1809
2016-02-19 15:01:02	971
2016-02-19 15:02:02	55
2016-02-19 15:03:03	10
2016-02-19 15:04:03	640
2016-02-19 15:05:02	2072
2016-02-19 15:06:03	703
2016-02-19 15:07:02	8581
2016-02-19 15:08:03	6
2016-02-19 15:09:03	14
2016-02-19 15:10:03	3115
2016-02-19 15:11:03	71
2016-02-19 15:12:02	7
2016-02-19 15:13:04	41
2016-02-19 15:14:02	47
2016-02-19 15:15:02	8
2016-02-19 15:16:03	464
2016-02-19 15:19:03	30
